status,pid,time
NEW PROC,1,0
EXEC,0,0
CTXT SWTCH,1,1
NEW PROC,2,2
EXEC,1,2
EXEC,1,3
EXEC,1,4
EXEC,0,5
CTXT SWTCH,2,6
EXEC,2,7
EXEC,2,8
EXEC,2,9
EXEC,0,10
CTXT SWTCH,1,11
NEW PROC,3,12
EXEC,1,12
EXEC,1,13
EXEC,1,14
EXEC,0,15
CTXT SWTCH,3,16
EXEC,3,17
EXEC,3,18
EXEC,3,19
EXEC,0,20
CTXT SWTCH,2,21
EXEC,2,22
EXEC,2,23
EXEC,2,24
EXEC,0,25
CTXT SWTCH,3,26
EXEC,3,27
EXEC,3,28
EXEC,3,29
EXEC,0,30
CTXT SWTCH,1,31
EXEC,1,32
EXEC,1,33
EXEC,1,34
EXEC,0,35
CTXT SWTCH,2,36
EXEC,2,37
EXEC,2,38
EXEC,2,39
EXEC,0,40
CTXT SWTCH,3,41
EXEC,3,42
EXEC,3,43
EXEC,3,44
EXEC,0,45
CTXT SWTCH,1,46
EXEC,1,47
EXEC,1,48
EXEC,1,49
EXEC,0,50
CTXT SWTCH,2,51
EXEC,2,52
EXEC,2,53
EXEC,2,54
EXEC,0,55
CTXT SWTCH,3,56
EXEC,3,57
EXEC,3,58
EXEC,3,59
EXEC,0,60
CTXT SWTCH,1,61
EXEC,1,62
EXEC,1,63
EXEC,1,64
EXEC,0,65
CTXT SWTCH,2,66
EXEC,2,67
EXEC,2,68
EXEC,2,69
EXEC,0,70
CTXT SWTCH,3,71
EXEC,3,72
EXEC,3,73
EXEC,3,74
EXEC,0,75
CTXT SWTCH,1,76
EXEC,1,77
EXEC,1,78
EXEC,1,79
EXEC,0,80
CTXT SWTCH,2,81
EXEC,2,82
EXEC,2,83
EXEC,2,84
EXEC,0,85
CTXT SWTCH,3,86
EXEC,3,87
EXEC,3,88
EXEC,3,89
EXEC,0,90
CTXT SWTCH,1,91
EXEC,1,92
EXEC,1,93
EXEC,1,94
EXEC,0,95
CTXT SWTCH,2,96
EXEC,2,97
EXEC,2,98
EXEC,2,99
EXEC,0,100
CTXT SWTCH,3,101
EXEC,3,102
EXEC,3,103
EXEC,3,104
EXEC,0,105
CTXT SWTCH,1,106
EXEC,1,107
EXEC,1,108
EXEC,1,109
EXEC,0,110
CTXT SWTCH,2,111
EXEC,2,112
EXEC,2,113
EXEC,2,114
EXEC,0,115
CTXT SWTCH,3,116
EXEC,3,117
EXEC,3,118
EXEC,3,119
EXEC,0,120
CTXT SWTCH,1,121
EXEC,1,122
EXEC,1,123
EXEC,1,124
EXEC,0,125
CTXT SWTCH,2,126
EXEC,2,127
EXEC,2,128
EXEC,2,129
EXEC,0,130
CTXT SWTCH,3,131
EXEC,3,132
EXEC,3,133
EXEC,3,134
EXEC,0,135
CTXT SWTCH,1,136
EXEC,1,137
EXEC,1,138
EXEC,1,139
EXEC,0,140
CTXT SWTCH,2,141
EXEC,2,142
EXEC,2,143
EXEC,2,144
EXEC,0,145
CTXT SWTCH,3,146
EXEC,3,147
EXEC,3,148
EXEC,3,149
EXEC,0,150
CTXT SWTCH,1,151
EXEC,1,152
EXEC,1,153
EXEC,1,154
EXEC,0,155
CTXT SWTCH,2,156
EXEC,2,157
EXEC,2,158
EXEC,2,159
EXEC,0,160
CTXT SWTCH,3,161
EXEC,3,162
EXEC,3,163
EXEC,3,164
EXEC,0,165
CTXT SWTCH,1,166
EXEC,1,167
EXEC,1,168
EXEC,1,169
EXEC,0,170
CTXT SWTCH,2,171
EXEC,2,172
EXEC,2,173
EXEC,2,174
EXEC,0,175
CTXT SWTCH,3,176
EXEC,3,177
EXEC,3,178
EXEC,3,179
EXEC,0,180
CTXT SWTCH,1,181
EXEC,1,182
EXEC,1,183
EXEC,1,184
EXEC,0,185
CTXT SWTCH,2,186
EXEC,2,187
EXEC,2,188
EXEC,2,189
EXEC,0,190
CTXT SWTCH,3,191
EXEC,3,192
EXEC,3,193
EXEC,3,194
EXEC,0,195
CTXT SWTCH,1,196
EXEC,1,197
EXEC,1,198
EXEC,1,199
EXEC,0,200
CTXT SWTCH,2,201
EXEC,2,202
EXEC,2,203
EXEC,2,204
EXEC,0,205
CTXT SWTCH,3,206
EXEC,3,207
EXEC,3,208
EXEC,3,209
EXEC,0,210
CTXT SWTCH,1,211
EXEC,1,212
EXEC,1,213
EXEC,1,214
EXEC,0,215
CTXT SWTCH,2,216
EXEC,2,217
EXEC,2,218
EXEC,2,219
EXEC,0,220
CTXT SWTCH,3,221
EXEC,3,222
EXEC,3,223
EXEC,3,224
EXEC,0,225
CTXT SWTCH,1,226
EXEC,1,227
EXEC,1,228
EXEC,1,229
EXEC,0,230
CTXT SWTCH,2,231
EXEC,2,232
EXEC,2,233
EXEC,2,234
EXEC,0,235
CTXT SWTCH,3,236
EXEC,3,237
EXEC,3,238
EXEC,3,239
EXEC,0,240
CTXT SWTCH,1,241
EXEC,1,242
EXEC,1,243
EXEC,1,244
EXEC,0,245
CTXT SWTCH,2,246
EXEC,2,247
EXEC,2,248
EXEC,2,249
EXEC,0,250
CTXT SWTCH,3,251
EXEC,3,252
EXEC,3,253
EXEC,3,254
EXEC,0,255
CTXT SWTCH,1,256
EXEC,1,257
EXEC,1,258
EXEC,1,259
EXEC,0,260
CTXT SWTCH,2,261
EXEC,2,262
EXEC,2,263
EXEC,2,264
EXEC,0,265
CTXT SWTCH,3,266
EXEC,3,267
EXEC,3,268
EXEC,3,269
EXEC,0,270
CTXT SWTCH,1,271
EXEC,1,272
EXEC,1,273
EXEC,1,274
EXEC,0,275
CTXT SWTCH,2,276
EXEC,2,277
EXEC,2,278
EXEC,2,279
EXEC,0,280
CTXT SWTCH,3,281
EXEC,3,282
EXEC,3,283
EXEC,3,284
EXEC,0,285
CTXT SWTCH,1,286
EXEC,1,287
EXEC,1,288
EXEC,1,289
EXEC,0,290
CTXT SWTCH,2,291
EXEC,2,292
EXEC,2,293
EXEC,2,294
EXEC,0,295
CTXT SWTCH,3,296
EXEC,3,297
EXEC,3,298
EXEC,3,299
EXEC,0,300
CTXT SWTCH,1,301
EXEC,1,302
EXEC,1,303
EXEC,1,304
EXEC,0,305
CTXT SWTCH,2,306
EXEC,2,307
EXEC,2,308
EXEC,2,309
EXEC,0,310
CTXT SWTCH,3,311
EXEC,3,312
EXEC,3,313
EXEC,3,314
EXEC,0,315
CTXT SWTCH,1,316
EXEC,1,317
EXEC,1,318
EXEC,1,319
EXEC,0,320
CTXT SWTCH,2,321
EXEC,2,322
EXEC,2,323
EXEC,2,324
EXEC,0,325
CTXT SWTCH,3,326
EXEC,3,327
EXEC,3,328
EXEC,3,329
EXEC,0,330
CTXT SWTCH,1,331
EXEC,1,332
EXEC,1,333
EXEC,1,334
EXEC,0,335
CTXT SWTCH,2,336
EXEC,2,337
EXEC,2,338
EXEC,2,339
EXEC,0,340
CTXT SWTCH,3,341
EXEC,3,342
EXEC,3,343
EXEC,3,344
EXEC,0,345
CTXT SWTCH,1,346
EXEC,1,347
EXEC,1,348
EXEC,1,349
EXEC,0,350
CTXT SWTCH,2,351
EXEC,2,352
EXEC,2,353
EXEC,2,354
EXEC,0,355
CTXT SWTCH,3,356
EXEC,3,357
EXEC,3,358
EXEC,3,359
EXEC,0,360
CTXT SWTCH,1,361
EXEC,1,362
EXEC,1,363
EXEC,1,364
EXEC,0,365
CTXT SWTCH,2,366
EXEC,2,367
EXEC,2,368
EXEC,2,369
EXEC,0,370
CTXT SWTCH,3,371
EXEC,3,372
EXEC,3,373
EXEC,3,374
EXEC,0,375
CTXT SWTCH,1,376
EXEC,1,377
EXEC,1,378
EXEC,1,379
EXEC,0,380
CTXT SWTCH,2,381
EXEC,2,382
EXEC,2,383
EXEC,2,384
EXEC,0,385
CTXT SWTCH,3,386
EXEC,3,387
EXEC,3,388
EXEC,3,389
EXEC,0,390
CTXT SWTCH,1,391
EXEC,1,392
EXEC,1,393
EXEC,1,394
EXEC,0,395
CTXT SWTCH,2,396
EXEC,2,397
EXEC,2,398
EXEC,2,399
EXEC,0,400
CTXT SWTCH,3,401
EXEC,3,402
EXEC,3,403
EXEC,3,404
EXEC,0,405
CTXT SWTCH,1,406
EXEC,1,407
EXEC,1,408
EXEC,1,409
EXEC,0,410
CTXT SWTCH,2,411
EXEC,2,412
EXEC,2,413
EXEC,2,414
EXEC,0,415
CTXT SWTCH,3,416
EXEC,3,417
EXEC,3,418
EXEC,3,419
EXEC,0,420
CTXT SWTCH,1,421
EXEC,1,422
EXEC,1,423
EXEC,1,424
EXEC,0,425
CTXT SWTCH,2,426
EXEC,2,427
EXEC,2,428
EXEC,2,429
EXEC,0,430
CTXT SWTCH,3,431
EXEC,3,432
EXEC,3,433
EXEC,3,434
EXEC,0,435
CTXT SWTCH,1,436
EXEC,1,437
EXEC,1,438
EXEC,1,439
EXEC,0,440
CTXT SWTCH,2,441
EXEC,2,442
EXEC,2,443
EXEC,2,444
EXEC,0,445
CTXT SWTCH,3,446
EXEC,3,447
EXEC,3,448
EXEC,3,449
EXEC,0,450
CTXT SWTCH,1,451
EXEC,1,452
EXEC,1,453
EXEC,1,454
EXEC,0,455
CTXT SWTCH,2,456
EXEC,2,457
EXEC,2,458
EXEC,2,459
EXEC,0,460
CTXT SWTCH,3,461
EXEC,3,462
EXEC,3,463
EXEC,3,464
EXEC,0,465
CTXT SWTCH,1,466
EXEC,1,467
EXEC,1,468
EXEC,1,469
EXEC,0,470
CTXT SWTCH,2,471
EXEC,2,472
EXEC,2,473
EXEC,2,474
EXEC,0,475
CTXT SWTCH,3,476
EXEC,3,477
EXEC,3,478
EXEC,3,479
EXEC,0,480
CTXT SWTCH,1,481
EXEC,1,482
EXEC,1,483
EXEC,1,484
EXEC,0,485
CTXT SWTCH,2,486
EXEC,2,487
EXEC,2,488
EXEC,2,489
EXEC,0,490
CTXT SWTCH,3,491
EXEC,3,492
EXEC,3,493
EXEC,3,494
EXEC,0,495
CTXT SWTCH,1,496
EXEC,1,497
COMPLETED,1,497
EXEC,0,498
CTXT SWTCH,2,499
EXEC,2,500
COMPLETED,2,500
EXEC,0,501
CTXT SWTCH,3,502
EXEC,3,503
EXEC,3,504
EXEC,3,505
EXEC,0,506
EXEC,3,507
EXEC,3,508
EXEC,3,509
EXEC,0,510
EXEC,3,511
EXEC,3,512
EXEC,3,513
EXEC,0,514
EXEC,3,515
EXEC,3,516
EXEC,3,517
EXEC,0,518
EXEC,3,519
EXEC,3,520
EXEC,3,521
EXEC,0,522
EXEC,3,523
EXEC,3,524
EXEC,3,525
EXEC,0,526
EXEC,3,527
EXEC,3,528
EXEC,3,529
EXEC,0,530
EXEC,3,531
EXEC,3,532
EXEC,3,533
EXEC,0,534
EXEC,3,535
EXEC,3,536
EXEC,3,537
EXEC,0,538
EXEC,3,539
EXEC,3,540
EXEC,3,541
EXEC,0,542
EXEC,3,543
EXEC,3,544
EXEC,3,545
EXEC,0,546
EXEC,3,547
EXEC,3,548
EXEC,3,549
EXEC,0,550
EXEC,3,551
EXEC,3,552
EXEC,3,553
EXEC,0,554
EXEC,3,555
EXEC,3,556
EXEC,3,557
EXEC,0,558
EXEC,3,559
EXEC,3,560
EXEC,3,561
EXEC,0,562
EXEC,3,563
EXEC,3,564
EXEC,3,565
EXEC,0,566
EXEC,3,567
EXEC,3,568
EXEC,3,569
EXEC,0,570
EXEC,3,571
EXEC,3,572
EXEC,3,573
EXEC,0,574
EXEC,3,575
EXEC,3,576
EXEC,3,577
EXEC,0,578
EXEC,3,579
EXEC,3,580
EXEC,3,581
EXEC,0,582
EXEC,3,583
EXEC,3,584
EXEC,3,585
EXEC,0,586
EXEC,3,587
EXEC,3,588
EXEC,3,589
EXEC,0,590
EXEC,3,591
EXEC,3,592
EXEC,3,593
EXEC,0,594
EXEC,3,595
EXEC,3,596
EXEC,3,597
EXEC,0,598
EXEC,3,599
EXEC,3,600
EXEC,3,601
EXEC,0,602
EXEC,3,603
EXEC,3,604
EXEC,3,605
EXEC,0,606
EXEC,3,607
EXEC,3,608
EXEC,3,609
EXEC,0,610
EXEC,3,611
EXEC,3,612
EXEC,3,613
EXEC,0,614
EXEC,3,615
EXEC,3,616
EXEC,3,617
EXEC,0,618
EXEC,3,619
EXEC,3,620
EXEC,3,621
EXEC,0,622
EXEC,3,623
EXEC,3,624
EXEC,3,625
EXEC,0,626
EXEC,3,627
EXEC,3,628
EXEC,3,629
EXEC,0,630
EXEC,3,631
EXEC,3,632
EXEC,3,633
EXEC,0,634
EXEC,3,635
EXEC,3,636
COMPLETED,3,636
EXEC,0,637
