status,pid,time
NEW PROC,1,0
EXEC,0,0
CTXT SWTCH, 1,1
NEW PROC,2,2
EXEC,1,2
EXEC,1,3
EXEC,1,4
EXEC,0,5
EXEC,1,6
EXEC,1,7
EXEC,1,8
EXEC,0,9
EXEC,1,10
NEW PROC,3,11
EXEC,1,11
EXEC,1,12
EXEC,0,13
EXEC,1,14
EXEC,1,15
EXEC,1,16
EXEC,0,17
EXEC,1,18
EXEC,1,19
EXEC,1,20
EXEC,0,21
EXEC,1,22
EXEC,1,23
EXEC,1,24
EXEC,0,25
EXEC,1,26
EXEC,1,27
EXEC,1,28
EXEC,0,29
EXEC,1,30
EXEC,1,31
EXEC,1,32
EXEC,0,33
EXEC,1,34
EXEC,1,35
EXEC,1,36
EXEC,0,37
EXEC,1,38
EXEC,1,39
EXEC,1,40
EXEC,0,41
EXEC,1,42
EXEC,1,43
EXEC,1,44
EXEC,0,45
EXEC,1,46
EXEC,1,47
EXEC,1,48
EXEC,0,49
EXEC,1,50
EXEC,1,51
EXEC,1,52
EXEC,0,53
EXEC,1,54
EXEC,1,55
EXEC,1,56
EXEC,0,57
EXEC,1,58
EXEC,1,59
EXEC,1,60
EXEC,0,61
EXEC,1,62
EXEC,1,63
EXEC,1,64
EXEC,0,65
EXEC,1,66
EXEC,1,67
EXEC,1,68
EXEC,0,69
EXEC,1,70
EXEC,1,71
EXEC,1,72
EXEC,0,73
EXEC,1,74
EXEC,1,75
EXEC,1,76
EXEC,0,77
EXEC,1,78
EXEC,1,79
EXEC,1,80
EXEC,0,81
EXEC,1,82
EXEC,1,83
EXEC,1,84
EXEC,0,85
EXEC,1,86
EXEC,1,87
EXEC,1,88
EXEC,0,89
EXEC,1,90
EXEC,1,91
EXEC,1,92
EXEC,0,93
EXEC,1,94
EXEC,1,95
EXEC,1,96
EXEC,0,97
EXEC,1,98
EXEC,1,99
EXEC,1,100
EXEC,0,101
EXEC,1,102
EXEC,1,103
EXEC,1,104
EXEC,0,105
EXEC,1,106
EXEC,1,107
EXEC,1,108
EXEC,0,109
EXEC,1,110
EXEC,1,111
EXEC,1,112
EXEC,0,113
EXEC,1,114
EXEC,1,115
EXEC,1,116
EXEC,0,117
EXEC,1,118
EXEC,1,119
EXEC,1,120
EXEC,0,121
EXEC,1,122
EXEC,1,123
EXEC,1,124
EXEC,0,125
EXEC,1,126
EXEC,1,127
EXEC,1,128
EXEC,0,129
EXEC,1,130
EXEC,1,131
EXEC,1,132
EXEC,0,133
EXEC,1,134
COMPLETED,1,134
EXEC,0,135
CTXT SWTCH, 2,136
EXEC,2,137
EXEC,2,138
EXEC,2,139
EXEC,0,140
EXEC,2,141
EXEC,2,142
EXEC,2,143
EXEC,0,144
EXEC,2,145
EXEC,2,146
EXEC,2,147
EXEC,0,148
EXEC,2,149
EXEC,2,150
EXEC,2,151
EXEC,0,152
EXEC,2,153
EXEC,2,154
EXEC,2,155
EXEC,0,156
EXEC,2,157
EXEC,2,158
EXEC,2,159
EXEC,0,160
EXEC,2,161
EXEC,2,162
EXEC,2,163
EXEC,0,164
EXEC,2,165
EXEC,2,166
EXEC,2,167
EXEC,0,168
EXEC,2,169
EXEC,2,170
EXEC,2,171
EXEC,0,172
EXEC,2,173
EXEC,2,174
EXEC,2,175
EXEC,0,176
EXEC,2,177
EXEC,2,178
EXEC,2,179
EXEC,0,180
EXEC,2,181
EXEC,2,182
EXEC,2,183
EXEC,0,184
EXEC,2,185
EXEC,2,186
EXEC,2,187
EXEC,0,188
EXEC,2,189
EXEC,2,190
EXEC,2,191
EXEC,0,192
EXEC,2,193
EXEC,2,194
EXEC,2,195
EXEC,0,196
EXEC,2,197
EXEC,2,198
EXEC,2,199
EXEC,0,200
EXEC,2,201
EXEC,2,202
EXEC,2,203
EXEC,0,204
EXEC,2,205
EXEC,2,206
EXEC,2,207
EXEC,0,208
EXEC,2,209
EXEC,2,210
EXEC,2,211
EXEC,0,212
EXEC,2,213
EXEC,2,214
EXEC,2,215
EXEC,0,216
EXEC,2,217
EXEC,2,218
EXEC,2,219
EXEC,0,220
EXEC,2,221
EXEC,2,222
EXEC,2,223
EXEC,0,224
EXEC,2,225
EXEC,2,226
EXEC,2,227
EXEC,0,228
EXEC,2,229
EXEC,2,230
EXEC,2,231
EXEC,0,232
EXEC,2,233
EXEC,2,234
EXEC,2,235
EXEC,0,236
EXEC,2,237
EXEC,2,238
EXEC,2,239
EXEC,0,240
EXEC,2,241
EXEC,2,242
EXEC,2,243
EXEC,0,244
EXEC,2,245
EXEC,2,246
EXEC,2,247
EXEC,0,248
EXEC,2,249
EXEC,2,250
EXEC,2,251
EXEC,0,252
EXEC,2,253
EXEC,2,254
EXEC,2,255
EXEC,0,256
EXEC,2,257
EXEC,2,258
EXEC,2,259
EXEC,0,260
EXEC,2,261
EXEC,2,262
EXEC,2,263
EXEC,0,264
EXEC,2,265
EXEC,2,266
EXEC,2,267
EXEC,0,268
EXEC,2,269
COMPLETED,2,269
EXEC,0,270
CTXT SWTCH, 3,271
EXEC,3,272
EXEC,3,273
EXEC,3,274
EXEC,0,275
EXEC,3,276
EXEC,3,277
EXEC,3,278
EXEC,0,279
EXEC,3,280
EXEC,3,281
EXEC,3,282
EXEC,0,283
EXEC,3,284
EXEC,3,285
EXEC,3,286
EXEC,0,287
EXEC,3,288
EXEC,3,289
EXEC,3,290
EXEC,0,291
EXEC,3,292
EXEC,3,293
EXEC,3,294
EXEC,0,295
EXEC,3,296
EXEC,3,297
EXEC,3,298
EXEC,0,299
EXEC,3,300
EXEC,3,301
EXEC,3,302
EXEC,0,303
EXEC,3,304
EXEC,3,305
EXEC,3,306
EXEC,0,307
EXEC,3,308
EXEC,3,309
EXEC,3,310
EXEC,0,311
EXEC,3,312
EXEC,3,313
EXEC,3,314
EXEC,0,315
EXEC,3,316
EXEC,3,317
EXEC,3,318
EXEC,0,319
EXEC,3,320
EXEC,3,321
EXEC,3,322
EXEC,0,323
EXEC,3,324
EXEC,3,325
EXEC,3,326
EXEC,0,327
EXEC,3,328
EXEC,3,329
EXEC,3,330
EXEC,0,331
EXEC,3,332
EXEC,3,333
EXEC,3,334
EXEC,0,335
EXEC,3,336
EXEC,3,337
EXEC,3,338
EXEC,0,339
EXEC,3,340
EXEC,3,341
EXEC,3,342
EXEC,0,343
EXEC,3,344
EXEC,3,345
EXEC,3,346
EXEC,0,347
EXEC,3,348
EXEC,3,349
EXEC,3,350
EXEC,0,351
EXEC,3,352
EXEC,3,353
EXEC,3,354
EXEC,0,355
EXEC,3,356
EXEC,3,357
EXEC,3,358
EXEC,0,359
EXEC,3,360
EXEC,3,361
EXEC,3,362
EXEC,0,363
EXEC,3,364
EXEC,3,365
EXEC,3,366
EXEC,0,367
EXEC,3,368
EXEC,3,369
EXEC,3,370
EXEC,0,371
EXEC,3,372
EXEC,3,373
EXEC,3,374
EXEC,0,375
EXEC,3,376
EXEC,3,377
EXEC,3,378
EXEC,0,379
EXEC,3,380
EXEC,3,381
EXEC,3,382
EXEC,0,383
EXEC,3,384
EXEC,3,385
EXEC,3,386
EXEC,0,387
EXEC,3,388
EXEC,3,389
EXEC,3,390
EXEC,0,391
EXEC,3,392
EXEC,3,393
EXEC,3,394
EXEC,0,395
EXEC,3,396
EXEC,3,397
EXEC,3,398
EXEC,0,399
EXEC,3,400
EXEC,3,401
EXEC,3,402
EXEC,0,403
EXEC,3,404
EXEC,3,405
EXEC,3,406
EXEC,0,407
EXEC,3,408
EXEC,3,409
EXEC,3,410
EXEC,0,411
EXEC,3,412
EXEC,3,413
EXEC,3,414
EXEC,0,415
EXEC,3,416
EXEC,3,417
EXEC,3,418
EXEC,0,419
EXEC,3,420
EXEC,3,421
EXEC,3,422
EXEC,0,423
EXEC,3,424
EXEC,3,425
EXEC,3,426
EXEC,0,427
EXEC,3,428
EXEC,3,429
EXEC,3,430
EXEC,0,431
EXEC,3,432
EXEC,3,433
EXEC,3,434
EXEC,0,435
EXEC,3,436
EXEC,3,437
EXEC,3,438
EXEC,0,439
EXEC,3,440
EXEC,3,441
EXEC,3,442
EXEC,0,443
EXEC,3,444
EXEC,3,445
EXEC,3,446
EXEC,0,447
EXEC,3,448
EXEC,3,449
EXEC,3,450
EXEC,0,451
EXEC,3,452
EXEC,3,453
EXEC,3,454
EXEC,0,455
EXEC,3,456
EXEC,3,457
EXEC,3,458
EXEC,0,459
EXEC,3,460
EXEC,3,461
EXEC,3,462
EXEC,0,463
EXEC,3,464
EXEC,3,465
EXEC,3,466
EXEC,0,467
EXEC,3,468
EXEC,3,469
EXEC,3,470
EXEC,0,471
EXEC,3,472
EXEC,3,473
EXEC,3,474
EXEC,0,475
EXEC,3,476
EXEC,3,477
EXEC,3,478
EXEC,0,479
EXEC,3,480
EXEC,3,481
EXEC,3,482
EXEC,0,483
EXEC,3,484
EXEC,3,485
EXEC,3,486
EXEC,0,487
EXEC,3,488
EXEC,3,489
EXEC,3,490
EXEC,0,491
EXEC,3,492
EXEC,3,493
EXEC,3,494
EXEC,0,495
EXEC,3,496
EXEC,3,497
EXEC,3,498
EXEC,0,499
EXEC,3,500
EXEC,3,501
EXEC,3,502
EXEC,0,503
EXEC,3,504
EXEC,3,505
EXEC,3,506
EXEC,0,507
EXEC,3,508
EXEC,3,509
EXEC,3,510
EXEC,0,511
EXEC,3,512
EXEC,3,513
EXEC,3,514
EXEC,0,515
EXEC,3,516
EXEC,3,517
EXEC,3,518
EXEC,0,519
EXEC,3,520
EXEC,3,521
EXEC,3,522
EXEC,0,523
EXEC,3,524
EXEC,3,525
EXEC,3,526
EXEC,0,527
EXEC,3,528
EXEC,3,529
EXEC,3,530
EXEC,0,531
EXEC,3,532
EXEC,3,533
EXEC,3,534
EXEC,0,535
EXEC,3,536
EXEC,3,537
COMPLETED,3,537
EXEC,0,538
